Sample_No,Date,Sample_Point,Town,Measure,Result,Units
625050,2017-11-09,ST_17872,Strathmore,E. coli,0,Orgs/100mL
665558,2017-11-09,BL_11946,Blancathey,E. coli,0,Orgs/100mL
673727,2017-11-09,ST_13895,Strathmore,E. coli,0,Orgs/100mL
627487,2017-11-03,PO_16509,Pontybridge,THM,0.007,mg/L
635851,2017-11-09,ST_17872,Strathmore,Turbidity,0.1,NTU
656892,2017-11-09,SN_11737,Snake's Canyon,E. coli,0,Orgs/100mL
646391,2018-07-12,BE_13422,Bellmoral,E. coli,0,Orgs/100mL
628596,2018-07-12,TA_11822,Tarnstead,Turbidity,0.2,NTU
694984,2017-11-09,BL_11946,Blancathey,Turbidity,0.2,NTU
689200,2018-07-12,SN_11737,Snake's Canyon,Turbidity,0.2,NTU
674288,2018-07-12,PO_10936,Pontybridge,Turbidity,0.1,NTU
611348,2017-11-09,SW_18453,Swadlincote,E. coli,0,Orgs/100mL
642406,2017-11-09,SO_19426,Southwold,E. coli,0,Orgs/100mL
625228,2018-10-15,PA_14918,Paethsmouth,THM,0.011,mg/L
646660,2018-10-04,PO_10333,Pontybridge,THM,0.061,mg/L
663770,2017-11-09,PO_10333,Pontybridge,E. coli,0,Orgs/100mL
601747,2018-10-04,BE_15310,Bellmoral,Turbidity,0.2,NTU
663815,2018-10-08,PA_19973,Paethsmouth,E. coli,0,Orgs/100mL
602608,2018-10-04,SW_10279,Swadlincote,Turbidity,0.3,NTU
611948,2018-10-04,SO_14953,Southwold,Turbidity,0.2,NTU
693677,2018-10-04,SN_14943,Snake's Canyon,Turbidity,0.2,NTU
653638,2018-10-04,ST_16944,Strathmore,Turbidity,0.2,NTU
610333,2018-10-04,ME_19934,Merton,Turbidity,0.3,NTU
610744,2017-12-28,PO_16870,Pontybridge,E. coli,0,Orgs/100mL
680007,2017-12-27,ME_19934,Merton,Turbidity,0.3,NTU
694165,2017-06-19,PA_12021,Paethsmouth,Turbidity,0.2,NTU
678370,2017-06-23,SN_14788,Snake's Canyon,E. coli,0,Orgs/100mL
689865,2017-06-23,ST_15319,Strathmore,E. coli,0,Orgs/100mL
668858,2017-06-23,ST_17736,Strathmore,E. coli,0,Orgs/100mL
626739,2017-06-22,PO_16870,Pontybridge,THM,0.05,mg/L
678223,2017-06-26,PA_11116,Paethsmouth,E. coli,0,Orgs/100mL
647268,2017-06-22,SW_15649,Swadlincote,E. coli,0,Orgs/100mL
626188,2017-02-09,SN_14788,Snake's Canyon,THM,0.034,mg/L
650145,2017-03-30,SN_15690,Snake's Canyon,E. coli,0,Orgs/100mL
651203,2017-03-30,SN_15690,Snake's Canyon,Turbidity,0.1,NTU
670417,2017-06-22,PO_16870,Pontybridge,E. coli,0,Orgs/100mL
681199,2017-06-23,TA_13563,Tarnstead,E. coli,0,Orgs/100mL
624046,2017-01-12,SW_10279,Swadlincote,Turbidity,0.2,NTU
650055,2017-01-12,BE_12742,Bellmoral,Turbidity,0.2,NTU
606061,2017-01-12,ME_11431,Merton,Turbidity,0.2,NTU
663136,2017-01-16,PA_16549,Paethsmouth,E. coli,0,Orgs/100mL
673677,2017-01-12,BL_11946,Blancathey,Turbidity,0.1,NTU
685826,2017-01-12,TA_12934,Tarnstead,Turbidity,0.2,NTU
633569,2017-01-12,ST_13895,Strathmore,Turbidity,0.2,NTU
692870,2017-11-03,ME_16507,Merton,E. coli,0,Orgs/100mL
613165,2017-11-03,SO_14280,Southwold,E. coli,0,Orgs/100mL
605995,2017-06-23,SO_12799,Southwold,E. coli,0,Orgs/100mL
691537,2017-02-09,BL_13006,Blancathey,THM,0.07,mg/L
643795,2017-03-30,ME_12675,Merton,Turbidity,0.2,NTU
615388,2018-07-12,BL_11946,Blancathey,Turbidity,0.1,NTU
673141,2018-06-28,ME_17891,Merton,E. coli,0,Orgs/100mL
662380,2018-06-28,BE_13507,Bellmoral,E. coli,0,Orgs/100mL
648007,2018-06-28,BL_14594,Blancathey,E. coli,0,Orgs/100mL
615621,2018-09-06,SW_15649,Swadlincote,Turbidity,0.2,NTU
615534,2018-08-16,PO_10936,Pontybridge,Turbidity,0.3,NTU
659019,2018-08-16,SN_11737,Snake's Canyon,Turbidity,0.1,NTU
668685,2018-06-28,ME_11431,Merton,THM,0.008,mg/L
629440,2018-06-28,BE_13507,Bellmoral,THM,0.009,mg/L
689030,2017-11-09,PO_10333,Pontybridge,Turbidity,0.1,NTU
633579,2017-11-08,WA_15184,Wakefield,Turbidity,0.2,NTU
644467,2018-06-15,SN_15690,Snake's Canyon,E. coli,0,Orgs/100mL
665368,2018-06-15,SO_18754,Southwold,E. coli,0,Orgs/100mL
698822,2018-06-15,ME_15547,Merton,E. coli,0,Orgs/100mL
662911,2018-06-15,ME_19289,Merton,E. coli,0,Orgs/100mL
620335,2018-06-18,PA_11469,Paethsmouth,E. coli,0,Orgs/100mL
645440,2018-06-14,WA_17412,Wakefield,Turbidity,0.2,NTU
652613,2018-07-02,PA_10485,Paethsmouth,E. coli,0,Orgs/100mL
629760,2018-06-15,SW_11438,Swadlincote,E. coli,0,Orgs/100mL
622581,2018-06-15,BE_16635,Bellmoral,E. coli,0,Orgs/100mL
683974,2018-06-15,PO_16509,Pontybridge,E. coli,0,Orgs/100mL
615569,2018-03-22,BL_14330,Blancathey,Turbidity,0.05,NTU
653801,2018-03-26,PA_17652,Paethsmouth,E. coli,0,Orgs/100mL
618394,2018-03-22,SO_14753,Southwold,Turbidity,0.05,NTU
615619,2018-04-05,ST_10128,Strathmore,E. coli,0,Orgs/100mL
663664,2018-03-29,ME_11992,Merton,E. coli,0,Orgs/100mL
661433,2018-03-29,BE_15310,Bellmoral,E. coli,0,Orgs/100mL
660546,2018-03-29,SO_17892,Southwold,E. coli,0,Orgs/100mL
634123,2018-03-29,ME_16215,Merton,E. coli,0,Orgs/100mL
670883,2018-07-19,ST_14952,Strathmore,THM,0.011,mg/L
612185,2018-07-12,SW_11069,Swadlincote,THM,0.013,mg/L
686710,2018-07-12,ST_10925,Strathmore,Turbidity,0.1,NTU
632954,2018-06-04,PA_19684,Paethsmouth,Turbidity,0.2,NTU
684851,2018-06-07,ST_16139,Strathmore,E. coli,0,Orgs/100mL
666219,2018-06-07,ST_15632,Strathmore,E. coli,0,Orgs/100mL
624924,2018-06-08,WA_18499,Wakefield,Turbidity,0.5,NTU
639303,2017-12-22,ME_14356,Merton,E. coli,0,Orgs/100mL
620053,2018-10-04,BL_14330,Blancathey,Turbidity,0.2,NTU
648227,2017-12-22,BL_14594,Blancathey,Turbidity,0.2,NTU
647407,2017-12-27,WA_18008,Wakefield,E. coli,0,Orgs/100mL
654718,2017-12-21,SW_10554,Swadlincote,Turbidity,0.2,NTU
609426,2017-12-27,ME_19934,Merton,E. coli,0,Orgs/100mL
618057,2017-12-27,ST_13051,Strathmore,E. coli,0,Orgs/100mL
645301,2018-10-03,WA_15101,Wakefield,Turbidity,0.3,NTU
647099,2017-06-29,ST_16875,Strathmore,Turbidity,0.1,NTU
699738,2018-10-04,PO_10333,Pontybridge,Turbidity,0.2,NTU
642933,2017-06-29,SO_19426,Southwold,Turbidity,0.05,NTU
641271,2017-06-29,SN_14943,Snake's Canyon,Turbidity,0.05,NTU
699069,2017-06-29,BL_14594,Blancathey,Turbidity,0.05,NTU
620266,2017-07-03,PA_19973,Paethsmouth,E. coli,0,Orgs/100mL
665567,2017-07-06,ST_14952,Strathmore,E. coli,0,Orgs/100mL
644739,2017-01-03,PA_17652,Paethsmouth,Turbidity,0.2,NTU
600950,2017-11-09,ME_16215,Merton,E. coli,0,Orgs/100mL
666847,2017-07-05,WA_15184,Wakefield,E. coli,0,Orgs/100mL
635200,2017-01-06,BE_17841,Bellmoral,E. coli,0,Orgs/100mL
688047,2017-01-05,SO_11134,Southwold,Turbidity,0.2,NTU
645159,2017-01-06,ME_17893,Merton,E. coli,0,Orgs/100mL
613108,2017-01-06,PO_16870,Pontybridge,E. coli,0,Orgs/100mL
661403,2017-01-09,PA_11469,Paethsmouth,E. coli,0,Orgs/100mL
691187,2017-11-03,SW_11069,Swadlincote,Turbidity,0.1,NTU
660515,2017-11-03,BL_14594,Blancathey,Turbidity,0.1,NTU
629323,2017-11-03,TA_12407,Tarnstead,Turbidity,0.1,NTU
683855,2017-11-03,TA_12407,Tarnstead,E. coli,0,Orgs/100mL
676855,2017-11-03,SN_14943,Snake's Canyon,E. coli,0,Orgs/100mL
668527,2018-10-04,TA_12934,Tarnstead,Turbidity,0.2,NTU
657616,2017-01-05,TA_11822,Tarnstead,Turbidity,0.2,NTU
673965,2017-06-09,ST_10128,Strathmore,Turbidity,0.2,NTU
608858,2017-06-09,SW_10554,Swadlincote,Turbidity,0.1,NTU
667230,2017-06-09,ME_14356,Merton,Turbidity,0.3,NTU
659750,2017-06-13,PA_10485,Paethsmouth,E. coli,0,Orgs/100mL
638408,2017-06-09,TA_11822,Tarnstead,E. coli,0,Orgs/100mL
676114,2017-11-09,ME_11992,Merton,E. coli,0,Orgs/100mL
625825,2017-12-28,BE_15094,Bellmoral,E. coli,0,Orgs/100mL
636882,2017-06-09,TA_11822,Tarnstead,Turbidity,0.1,NTU
629290,2017-06-09,PO_16509,Pontybridge,Turbidity,0.2,NTU
667273,2018-12-31,PA_14918,Paethsmouth,E. coli,0,Orgs/100mL
695032,2018-12-24,SW_12557,Swadlincote,Turbidity,0.2,NTU
669715,2018-12-27,PA_19973,Paethsmouth,Turbidity,0.1,NTU
604491,2018-12-13,SN_14943,Snake's Canyon,Turbidity,0.3,NTU
616898,2018-12-13,BE_12742,Bellmoral,Turbidity,0.2,NTU
658982,2018-06-07,TA_12934,Tarnstead,E. coli,0,Orgs/100mL
643207,2018-06-07,SO_14280,Southwold,Turbidity,0.1,NTU
641705,2018-06-06,WA_18499,Wakefield,E. coli,0,Orgs/100mL
628956,2018-06-07,ME_11992,Merton,E. coli,0,Orgs/100mL
657457,2018-06-07,SW_17925,Swadlincote,Turbidity,0.1,NTU
679906,2018-06-07,ST_16139,Strathmore,Turbidity,0.1,NTU
617188,2018-06-07,BL_13006,Blancathey,E. coli,0,Orgs/100mL
697920,2018-06-07,ME_10188,Merton,E. coli,0,Orgs/100mL
670736,2018-06-07,SO_17892,Southwold,E. coli,0,Orgs/100mL
607428,2018-06-07,TA_12934,Tarnstead,THM,0.006,mg/L
698465,2018-06-07,SW_17925,Swadlincote,E. coli,0,Orgs/100mL
626105,2018-06-07,ST_10925,Strathmore,E. coli,0,Orgs/100mL
619562,2018-06-07,SN_11737,Snake's Canyon,Turbidity,0.1,NTU
622360,2018-06-07,BE_12742,Bellmoral,E. coli,0,Orgs/100mL
645965,2018-06-07,SN_11737,Snake's Canyon,E. coli,0,Orgs/100mL
663289,2018-06-07,SO_14280,Southwold,E. coli,0,Orgs/100mL
699467,2018-06-07,TA_12934,Tarnstead,Turbidity,0.3,NTU
667787,2018-06-07,PO_16870,Pontybridge,Turbidity,0.2,NTU
690210,2018-06-07,ME_11992,Merton,Turbidity,0.2,NTU
649061,2018-06-07,PO_16870,Pontybridge,E. coli,0,Orgs/100mL
697496,2018-06-07,BE_12742,Bellmoral,Turbidity,0.3,NTU
698138,2018-06-07,BL_13006,Blancathey,Turbidity,0.2,NTU
630753,2018-06-12,PA_17652,Paethsmouth,E. coli,0,Orgs/100mL
627830,2018-12-13,ST_10925,Strathmore,THM,0.008,mg/L
670658,2018-11-22,BE_18768,Bellmoral,Turbidity,0.2,NTU
667915,2018-11-22,TA_13563,Tarnstead,Turbidity,0.1,NTU
633267,2018-11-22,SW_18453,Swadlincote,Turbidity,0.1,NTU
650013,2018-11-22,BL_17886,Blancathey,Turbidity,0.05,NTU
631523,2018-11-22,SO_19853,Southwold,Turbidity,0.1,NTU
635402,2018-12-24,SO_14753,Southwold,Turbidity,0.2,NTU
620391,2018-03-29,ME_10188,Merton,E. coli,0,Orgs/100mL
628408,2018-03-28,WA_15101,Wakefield,Turbidity,0.05,NTU
624858,2018-10-29,PA_15033,Paethsmouth,E. coli,0,Orgs/100mL
616676,2018-10-25,TA_11822,Tarnstead,THM,0.007,mg/L
634720,2018-10-18,BL_17886,Blancathey,Turbidity,0.2,NTU
688764,2018-10-18,ST_17970,Strathmore,Turbidity,0.3,NTU
696056,2018-10-18,TA_12407,Tarnstead,Turbidity,0.2,NTU
686153,2018-10-18,SW_11438,Swadlincote,Turbidity,0.2,NTU
688201,2018-10-24,WA_12904,Wakefield,E. coli,0,Orgs/100mL
625217,2018-10-18,SN_11423,Snake's Canyon,Turbidity,0.2,NTU
678681,2018-10-18,ME_15547,Merton,Turbidity,0.1,NTU
681182,2018-10-17,WA_17412,Wakefield,Turbidity,0.2,NTU
697330,2018-10-18,BE_16635,Bellmoral,Turbidity,0.2,NTU
616358,2018-10-18,SO_14753,Southwold,Turbidity,0.3,NTU
639865,2018-10-18,PO_16870,Pontybridge,Turbidity,0.2,NTU
676711,2018-10-18,BL_17886,Blancathey,THM,0.09,mg/L
612114,2018-03-29,TA_12934,Tarnstead,E. coli,0,Orgs/100mL
633899,2018-01-05,SN_15690,Snake's Canyon,Turbidity,0.1,NTU
662262,2018-01-05,SW_11069,Swadlincote,Turbidity,0.2,NTU
657396,2017-03-30,PO_16767,Pontybridge,E. coli,0,Orgs/100mL
651553,2017-06-23,BL_14330,Blancathey,E. coli,0,Orgs/100mL
635954,2017-03-30,SO_14753,Southwold,E. coli,0,Orgs/100mL
654882,2017-03-30,PO_16767,Pontybridge,Turbidity,0.2,NTU
625472,2017-03-30,ME_14356,Merton,E. coli,0,Orgs/100mL
674017,2018-01-17,WA_10025,Wakefield,Turbidity,0.1,NTU
652724,2017-06-09,SO_17892,Southwold,Turbidity,0.2,NTU
637553,2017-06-08,WA_12904,Wakefield,Turbidity,0.1,NTU
693206,2017-06-09,BL_14594,Blancathey,Turbidity,0.1,NTU
680231,2017-01-06,BE_17841,Bellmoral,Turbidity,0.2,NTU
642699,2018-01-17,WA_10025,Wakefield,E. coli,0,Orgs/100mL
608943,2018-01-15,PA_11469,Paethsmouth,THM,0.007,mg/L
681922,2017-06-09,SN_14788,Snake's Canyon,Turbidity,0.1,NTU
680973,2017-01-06,ST_17970,Strathmore,Turbidity,0.2,NTU
670810,2017-01-06,ME_17893,Merton,Turbidity,0.2,NTU
696403,2017-01-19,SW_17925,Swadlincote,E. coli,0,Orgs/100mL
643185,2017-01-19,PO_16767,Pontybridge,E. coli,0,Orgs/100mL
614556,2017-01-19,PO_16767,Pontybridge,Turbidity,0.2,NTU
642811,2017-12-28,SW_15649,Swadlincote,E. coli,0,Orgs/100mL
662915,2017-12-27,TA_13563,Tarnstead,Turbidity,0.1,NTU
607450,2017-01-18,WA_10025,Wakefield,Turbidity,0.2,NTU
689329,2017-01-19,BE_15310,Bellmoral,E. coli,0,Orgs/100mL
675504,2018-12-13,BL_14330,Blancathey,Turbidity,0.1,NTU
692146,2018-12-13,ME_16215,Merton,Turbidity,0.3,NTU
633120,2018-12-13,PO_16870,Pontybridge,Turbidity,0.1,NTU
637361,2018-08-16,ST_17970,Strathmore,E. coli,0,Orgs/100mL
677325,2018-06-28,SO_13517,Southwold,E. coli,0,Orgs/100mL
653213,2018-06-28,SW_10554,Swadlincote,E. coli,0,Orgs/100mL
617712,2018-06-27,WA_18008,Wakefield,Turbidity,0.1,NTU
641143,2018-06-28,TA_11822,Tarnstead,Turbidity,0.6,NTU
611636,2018-06-28,ST_17872,Strathmore,Turbidity,0.3,NTU
606358,2018-06-28,ME_11431,Merton,Turbidity,0.1,NTU
681518,2018-06-28,TA_11822,Tarnstead,E. coli,0,Orgs/100mL
688648,2018-12-24,SN_11423,Snake's Canyon,E. coli,0,Orgs/100mL
690790,2018-12-24,SW_12557,Swadlincote,E. coli,0,Orgs/100mL
627761,2017-12-22,SN_14943,Snake's Canyon,Turbidity,0.1,NTU
694654,2017-12-22,SN_14943,Snake's Canyon,E. coli,0,Orgs/100mL
611109,2017-12-21,BE_13507,Bellmoral,Turbidity,0.1,NTU
651746,2017-12-22,ST_17736,Strathmore,E. coli,0,Orgs/100mL
613275,2017-12-22,TA_12934,Tarnstead,E. coli,0,Orgs/100mL
664205,2017-12-22,TA_12934,Tarnstead,Turbidity,0.3,NTU
668999,2017-12-22,ME_13530,Merton,E. coli,0,Orgs/100mL
615303,2017-12-22,BL_14594,Blancathey,E. coli,0,Orgs/100mL
671051,2017-12-22,ME_12675,Merton,E. coli,0,Orgs/100mL
647195,2017-12-22,ME_13530,Merton,Turbidity,0.2,NTU
647539,2018-08-16,SN_11737,Snake's Canyon,E. coli,0,Orgs/100mL
631341,2018-07-19,ME_16148,Merton,E. coli,0,Orgs/100mL
631002,2017-12-27,SO_11134,Southwold,E. coli,0,Orgs/100mL
690439,2017-12-27,ST_18354,Strathmore,E. coli,0,Orgs/100mL
634332,2017-12-22,SO_14953,Southwold,E. coli,0,Orgs/100mL
647504,2017-12-21,PO_10333,Pontybridge,Turbidity,0.1,NTU
677180,2018-07-19,BL_13006,Blancathey,THM,0.065,mg/L
624959,2018-07-19,TA_13563,Tarnstead,THM,0.008,mg/L
679036,2018-11-14,WA_13324,Wakefield,THM,0.008,mg/L
606805,2018-10-25,BE_16639,Bellmoral,E. coli,0,Orgs/100mL
679356,2018-12-24,SN_11423,Snake's Canyon,Turbidity,0.2,NTU
608824,2018-12-20,BE_16635,Bellmoral,THM,0.006,mg/L
633777,2018-12-24,ST_15632,Strathmore,E. coli,0,Orgs/100mL
627068,2018-03-22,SN_11737,Snake's Canyon,THM,0.12,mg/L
682077,2018-03-22,PO_16767,Pontybridge,Turbidity,0.05,NTU
694138,2017-11-09,TA_12934,Tarnstead,Turbidity,0.3,NTU
692177,2017-11-09,ME_16215,Merton,Turbidity,0.1,NTU
689091,2017-11-03,BE_13422,Bellmoral,Turbidity,0.1,NTU
640509,2017-11-03,BE_13422,Bellmoral,E. coli,0,Orgs/100mL
633864,2017-06-09,BE_16639,Bellmoral,Turbidity,0.2,NTU
654341,2017-11-03,SW_11069,Swadlincote,E. coli,0,Orgs/100mL
691717,2017-11-03,BL_14594,Blancathey,E. coli,0,Orgs/100mL
653615,2017-11-03,ST_10128,Strathmore,Turbidity,0.2,NTU
664210,2017-11-03,ST_10128,Strathmore,E. coli,0,Orgs/100mL
688015,2017-11-03,SN_14943,Snake's Canyon,Turbidity,0.1,NTU
666405,2017-11-02,WA_13324,Wakefield,Turbidity,0.1,NTU
670579,2017-11-06,PA_16549,Paethsmouth,E. coli,0,Orgs/100mL
605681,2017-11-03,ME_18009,Merton,E. coli,0,Orgs/100mL
670357,2017-11-03,PO_16509,Pontybridge,E. coli,0,Orgs/100mL
648406,2017-11-02,WA_13324,Wakefield,E. coli,0,Orgs/100mL
612290,2017-06-28,WA_13324,Wakefield,Turbidity,0.05,NTU
660786,2018-01-02,PA_19684,Paethsmouth,Turbidity,0.1,NTU
682938,2018-01-05,ST_17003,Strathmore,E. coli,0,Orgs/100mL
627623,2018-01-05,BE_13422,Bellmoral,E. coli,0,Orgs/100mL
620193,2018-01-05,ME_19919,Merton,E. coli,0,Orgs/100mL
658790,2018-01-04,WA_13324,Wakefield,E. coli,0,Orgs/100mL
645696,2018-01-05,SN_15690,Snake's Canyon,E. coli,0,Orgs/100mL
663257,2018-01-05,BE_13422,Bellmoral,Turbidity,0.2,NTU
682616,2017-07-06,TA_11822,Tarnstead,E. coli,0,Orgs/100mL
686944,2017-01-16,PA_16549,Paethsmouth,Turbidity,0.2,NTU
673857,2017-01-19,ST_14962,Strathmore,E. coli,0,Orgs/100mL
685944,2017-01-19,ME_12675,Merton,E. coli,0,Orgs/100mL
683852,2017-01-12,ME_13530,Merton,E. coli,0,Orgs/100mL
690215,2017-01-19,SN_11737,Snake's Canyon,Turbidity,0.2,NTU
620752,2017-01-19,SN_11737,Snake's Canyon,E. coli,0,Orgs/100mL
637490,2017-01-19,SO_14753,Southwold,Turbidity,0.3,NTU
692679,2017-01-12,ST_14989,Strathmore,E. coli,0,Orgs/100mL
616983,2017-01-11,WA_18499,Wakefield,Turbidity,0.2,NTU
625376,2017-01-12,SN_14943,Snake's Canyon,E. coli,0,Orgs/100mL
621533,2017-01-19,TA_12407,Tarnstead,Turbidity,0.2,NTU
687318,2017-01-12,ME_11431,Merton,E. coli,0,Orgs/100mL
672070,2017-01-12,SO_11519,Southwold,E. coli,0,Orgs/100mL
648428,2018-08-15,WA_17412,Wakefield,Turbidity,0.1,NTU
650940,2018-08-16,SW_11438,Swadlincote,Turbidity,0.2,NTU
638064,2018-08-20,PA_19684,Paethsmouth,E. coli,0,Orgs/100mL
688571,2018-08-20,PA_19684,Paethsmouth,Turbidity,0.2,NTU
655907,2018-08-16,BE_16635,Bellmoral,Turbidity,0.2,NTU
632470,2018-08-16,BL_11946,Blancathey,Turbidity,0.1,NTU
622651,2018-12-27,PA_19973,Paethsmouth,E. coli,0,Orgs/100mL
692126,2018-12-27,WA_12904,Wakefield,Turbidity,0.2,NTU
671489,2018-08-16,ST_16139,Strathmore,Turbidity,0.3,NTU
632624,2018-08-16,SN_11737,Snake's Canyon,THM,0.028,mg/L
613778,2018-12-13,SO_17043,Southwold,Turbidity,0.4,NTU
644782,2018-12-13,ST_10925,Strathmore,Turbidity,0.3,NTU
652981,2018-12-13,SW_17925,Swadlincote,THM,0.009,mg/L
654422,2018-12-13,BL_14330,Blancathey,THM,0.058,mg/L
620104,2018-12-13,TA_12934,Tarnstead,Turbidity,0.2,NTU
636746,2018-12-13,SW_17925,Swadlincote,Turbidity,0.2,NTU
662889,2018-12-17,PA_11116,Paethsmouth,E. coli,0,Orgs/100mL
608865,2018-07-19,BL_13006,Blancathey,E. coli,0,Orgs/100mL
620586,2018-07-19,SN_15690,Snake's Canyon,THM,0.038,mg/L
617742,2018-07-23,PA_19973,Paethsmouth,E. coli,0,Orgs/100mL
688722,2018-07-19,BE_18768,Bellmoral,THM,0.008,mg/L
647498,2018-11-12,PA_17652,Paethsmouth,THM,0.008,mg/L
699810,2018-11-15,SO_12799,Southwold,Turbidity,0.1,NTU
617071,2018-11-14,WA_13324,Wakefield,Turbidity,0.2,NTU
639030,2018-06-15,ST_10128,Strathmore,E. coli,0,Orgs/100mL
638555,2018-06-15,BL_11946,Blancathey,E. coli,0,Orgs/100mL
678998,2018-11-15,BE_13422,Bellmoral,Turbidity,0.2,NTU
639851,2018-11-15,ST_16875,Strathmore,Turbidity,0.2,NTU
609176,2018-10-25,PO_10333,Pontybridge,E. coli,0,Orgs/100mL
673453,2018-10-25,ME_19289,Merton,Turbidity,0.1,NTU
646241,2018-11-15,ME_17256,Merton,Turbidity,0.1,NTU
600644,2018-03-22,TA_13563,Tarnstead,Turbidity,0.05,NTU
680371,2018-03-22,SN_11737,Snake's Canyon,Turbidity,0.05,NTU
614506,2018-10-25,TA_11822,Tarnstead,Turbidity,0.2,NTU
626985,2018-11-15,SW_11069,Swadlincote,Turbidity,0.2,NTU
621139,2018-10-25,ST_15632,Strathmore,Turbidity,0.1,NTU
615346,2018-10-25,SO_14280,Southwold,E. coli,0,Orgs/100mL
609908,2018-03-21,WA_10025,Wakefield,Turbidity,0.05,NTU
691760,2018-03-22,ST_17003,Strathmore,Turbidity,7.34,NTU
659586,2018-03-22,BL_14330,Blancathey,THM,0.15,mg/L
609667,2018-03-22,SW_18483,Swadlincote,THM,0.097,mg/L
652403,2018-03-26,PA_17652,Paethsmouth,Turbidity,0.05,NTU
647397,2018-03-29,ST_10925,Strathmore,E. coli,0,Orgs/100mL
628016,2018-03-22,BE_17841,Bellmoral,Turbidity,0.05,NTU
628865,2018-03-22,ST_17003,Strathmore,THM,0.083,mg/L
693784,2018-03-29,SN_15690,Snake's Canyon,E. coli,0,Orgs/100mL
682381,2018-03-22,SW_18483,Swadlincote,Turbidity,0.05,NTU
639884,2018-03-22,SO_14753,Southwold,THM,0.35546,mg/L
633296,2018-10-22,PA_14206,Paethsmouth,E. coli,0,Orgs/100mL
693472,2018-10-04,SW_10279,Swadlincote,THM,0.011,mg/L
630786,2018-01-15,PA_11469,Paethsmouth,Turbidity,0.1,NTU
657488,2017-11-09,BE_18768,Bellmoral,E. coli,0,Orgs/100mL
656804,2017-11-09,TA_12934,Tarnstead,E. coli,0,Orgs/100mL
698236,2017-11-03,TA_12407,Tarnstead,THM,0.006,mg/L
661873,2017-07-03,PA_19973,Paethsmouth,Turbidity,0.05,NTU
698912,2017-07-06,ST_11855,Strathmore,E. coli,0,Orgs/100mL
639748,2017-06-30,PO_16767,Pontybridge,Turbidity,0.05,NTU
672240,2017-07-06,SO_13517,Southwold,E. coli,0,Orgs/100mL
692833,2017-01-12,ME_11431,Merton,THM,0.009,mg/L
696792,2017-01-12,SO_11519,Southwold,THM,0.006,mg/L
691883,2017-06-22,BE_15094,Bellmoral,E. coli,0,Orgs/100mL
601657,2017-01-12,SN_14943,Snake's Canyon,THM,0.04,mg/L
637215,2017-01-12,ST_10128,Strathmore,E. coli,0,Orgs/100mL
691363,2017-11-03,PO_16509,Pontybridge,Turbidity,0.1,NTU
659705,2017-11-03,ST_14989,Strathmore,E. coli,0,Orgs/100mL
674401,2017-11-03,ST_14962,Strathmore,E. coli,0,Orgs/100mL
656862,2017-11-03,SO_17892,Southwold,Turbidity,0.2,NTU
621648,2017-11-03,SO_17892,Southwold,E. coli,0,Orgs/100mL
609879,2017-11-03,ME_19866,Merton,Turbidity,0.1,NTU
631401,2017-11-03,ME_19866,Merton,E. coli,0,Orgs/100mL
622877,2017-06-23,ME_16507,Merton,E. coli,0,Orgs/100mL
667824,2017-05-22,PA_17652,Paethsmouth,Turbidity,0.2,NTU
619930,2017-05-24,WA_18499,Wakefield,E. coli,0,Orgs/100mL
